,date,open,high,low,close,volume,average,barCount
107,2022-11-21 09:00:00,81.445,81.445,81.445,81.445,0.0,81.445,0
108,2022-11-21 10:00:00,81.445,81.445,81.445,81.445,0.0,81.445,0
109,2022-11-21 11:00:00,80.829,80.829,80.829,80.829,42.0,80.829,2
110,2022-11-21 12:00:00,80.936,81.13,80.936,81.13,165.0,80.9536,2
111,2022-11-21 13:00:00,81.13,81.13,81.13,81.13,0.0,81.13,0
112,2022-11-21 14:00:00,81.13,81.13,81.13,81.13,0.0,81.13,0
113,2022-11-21 15:00:00,80.867,80.867,80.867,80.867,400.0,80.867,1
114,2022-11-21 16:00:00,80.867,80.867,80.867,80.867,0.0,80.867,0
115,2022-11-22 08:00:00,80.946,80.946,80.946,80.946,100.0,80.946,1
116,2022-11-22 09:00:00,81.519,81.519,81.519,81.519,250.0,81.519,2
117,2022-11-22 10:00:00,81.505,81.505,80.932,81.253,1513.0,81.1641,10
118,2022-11-22 11:00:00,81.253,81.253,81.253,81.253,0.0,81.253,0
119,2022-11-22 12:00:00,81.562,81.562,81.339,81.339,171.0,81.5346,6
120,2022-11-22 13:00:00,80.988,81.244,80.988,81.244,518.0,80.9969,2
121,2022-11-22 14:00:00,81.244,81.244,81.244,81.244,0.0,81.244,0
122,2022-11-22 15:00:00,81.291,82.791,81.246,81.246,90.0,81.776,3
123,2022-11-22 16:00:00,81.246,81.246,81.246,81.246,0.0,81.246,0
124,2022-11-23 11:00:00,81.31,82.859,81.287,82.859,417.0,82.2084,5
125,2022-11-23 12:00:00,82.859,82.859,82.859,82.859,0.0,82.859,0
126,2022-11-23 13:00:00,82.358,82.358,81.11,81.11,94.0,81.3717,5
127,2022-11-23 14:00:00,81.513,81.563,81.513,81.513,36.0,81.5297,3
128,2022-11-23 15:00:00,81.62,81.62,81.62,81.62,16.0,81.62,1
129,2022-11-23 16:00:00,81.62,81.62,81.62,81.62,0.0,81.62,0
